;;;;;;;;;;;;;;;;;;;;;;;;;
PROV1740;Zillah;x;;;;;;;;;;;;;;;;;;;;;;;
PROV1834;Dungunab;x;;;;;;;;;;;;;;;;;;;;;;;
PROV1833;Doleh;x;;;;;;;;;;;;;;;;;;;;;;;
PROV3675;Al Mirfa;x;;;;;;;;;;;;;;;;;;;;;;;
PROV920;Hasaka;x;;;;;;;;;;;;;;;;;;;;;;;
PROV1157;Diriyah;x;;;;;;;;;;;;;;;;;;;;;;;
PROV856;Kythira;x;;;;;;;;;;;;;;;;;;;;;;;
PROV1743;Leer;x;;;;;;;;;;;;;;;;;;;;;;;
PROV3676;Roermond;x;;;;;;;;;;;;;;;;;;;;;;;
PROV3677;Outreau;x;;;;;;;;;;;;;;;;;;;;;;;
EFR;East Frisia;;;;;;;;;;;;;;;;;;;;;;;x;
EFR_ADJ;East Frisian;;;;;;;;;;;;;;;;;;;;;;;x;
FRI;West Frisia;;;;;;;;;;;;;;;;;;;;;;;;x
FRI_ADJ;West Frisian;;;;;;;;;;;;;;;;;;;;;;;x;
BRG;Burgundy;;;;;;;;;;;;;;;;;;;;;;;x;
BRG_absolute_monarchy;Burgundian Circle;;;;;;;;;;;;;;;;;;;;;;;x;
BRG_prussian_constitutionalism;Burgundian Circle;;;;;;;;;;;;;;;;;;;;;;;x;
BRG_hms_government;Burgundian Circle;;;;;;;;;;;;;;;;;;;;;;;x;
BRG_democracy,Republic of Burgundy;;;;;;;;;;;;;;;;;;;;;;;x;;
BRG_proletarian_dictatorship;People's Republic of Burgundy;;;;;;;;;;;;;;;;;;;;;;;x;
BRG_presidential_dictatorship;Republic of Burgundy;;;;;;;;;;;;;;;;;;;;;;;x;
BRG_fascist_dictatorship;Empire of Greater Burgundy;;;;;;;;;;;;;;;;;;;;;;;x;
BRG_ADJ;Burgundian;;;;;;;;;;;;;;;;;;;;;;;x;
